id_asignatura,asignatura_area,semestre,creditos,teoria,practica,nivel_complejidad,requiere_maestria
MAT_001,Bases de Datos,5,5,43,30,Medio,0
MAT_002,Bases de Datos,10,4,44,33,Bajo,1
MAT_003,Computación,10,4,58,55,Medio,1
MAT_004,Gestión Computacional,4,5,41,46,Alto,0
MAT_005,Software,8,4,42,57,Bajo,1
MAT_006,Gestión Computacional,3,5,44,41,Medio,1
MAT_007,Bases de Datos,2,3,58,47,Medio,0
MAT_008,Gestión Computacional,10,4,65,59,Alto,1
MAT_009,Programación,7,4,60,47,Medio,1
MAT_010,Gestión Computacional,8,3,60,58,Medio,1
MAT_011,Bases de Datos,5,3,63,32,Alto,0
MAT_012,Bases de Datos,1,5,63,52,Alto,1
MAT_013,Programación,7,3,62,54,Medio,1
MAT_014,Administración,1,3,69,49,Alto,0
MAT_015,Matemáticas,3,3,43,41,Alto,1
MAT_016,Programación,7,4,59,48,Medio,1
MAT_017,Gestión Computacional,5,5,51,54,Medio,0
MAT_018,Gestión Computacional,7,3,46,42,Alto,1
MAT_019,Bases de Datos,7,4,65,34,Alto,1
MAT_020,Gestión Computacional,2,5,51,38,Alto,0
MAT_021,Gestión Computacional,6,5,53,42,Medio,0
MAT_022,Matemáticas,10,4,44,58,Bajo,1
MAT_023,Matemáticas,8,3,40,51,Alto,1
MAT_024,Computación,7,3,52,33,Medio,1
MAT_025,Software,3,3,51,51,Alto,0
MAT_026,Matemáticas,7,4,42,42,Bajo,1
MAT_027,Software,10,3,48,36,Alto,1
MAT_028,Gestión Computacional,9,5,67,46,Bajo,1
MAT_029,Programación,6,3,45,55,Bajo,1
MAT_030,Gestión Computacional,5,4,60,40,Alto,0
MAT_031,Matemáticas,4,3,57,44,Medio,0
MAT_032,Computación,1,3,61,51,Medio,1
MAT_033,Matemáticas,10,4,51,53,Medio,1
MAT_034,Bases de Datos,4,4,47,55,Medio,0
MAT_035,Gestión Computacional,9,5,61,46,Medio,1
MAT_036,Gestión Computacional,4,3,67,45,Bajo,1
MAT_037,Gestión Computacional,6,4,58,34,Medio,0
MAT_038,Administración,2,5,52,34,Bajo,0
MAT_039,Programación,2,5,56,40,Medio,0
MAT_040,Administración,1,3,40,31,Bajo,0
MAT_041,Gestión Computacional,7,4,67,46,Medio,1
MAT_042,Gestión Computacional,6,5,60,52,Alto,1
MAT_043,Bases de Datos,3,3,60,43,Medio,0
MAT_044,Gestión Computacional,4,4,40,46,Alto,0
MAT_045,Computación,8,5,65,55,Medio,1
